Trait	Tissue	TCSC_Cov	TCSC_CovSE	TCSC_CovP	TCSC_CovFDRP	TCSC_PropCov	TCSC_PropCovSE	TCSC_GenomeCov
"WBC Count,BMI"	Tibial Artery	-0.000586614	0.002961455	0.42149007	0.939969621	-0.009553971	0.048232168	0.0614
"WBC Count,BMI"	Brain Limbic	-0.001517049	0.002330983	0.25758157	0.87722223	-0.024707631	0.037963888	0.0614
"WBC Count,BMI"	Brain Cortex	-0.001417789	0.001883037	0.2257469	0.87722223	-0.023091028	0.030668349	0.0614
"WBC Count,BMI"	Brain Basal Ganglia	0.002076507	0.002410029	0.19445082	0.87722223	0.033819334	0.039251281	0.0614
"WBC Count,BMI"	Brain Cereb.	0.001070803	0.002153227	0.30948824	0.939969621	0.017439791	0.035068852	0.0614
"WBC Count,BMI"	Brain Spinal Cord	-0.000230375	0.002180755	0.45793392	0.939969621	-0.003752041	0.035517176	0.0614
"WBC Count,BMI"	Brain Subst. Nigra	0.001978862	0.003227783	0.26991453	0.87722223	0.03222902	0.052569757	0.0614
"WBC Count,BMI"	Breast	-0.009973491	0.002532961	4.12E-05	0.003211297	-0.16243471	0.041253443	0.0614
"WBC Count,BMI"	LCLs	-0.000896317	0.001335904	0.25112817	0.87722223	-0.014597993	0.0217574	0.0614
"WBC Count,BMI"	Fibroblasts	-0.003244552	0.001903276	0.04412333	0.791116857	-0.05284287	0.030997976	0.0614
"WBC Count,BMI"	Sigmoid Intestine	-0.001569876	0.002201512	0.23789505	0.87722223	-0.025568011	0.035855239	0.0614
"WBC Count,BMI"	Transverse Intestine	0.002355276	0.002564707	0.17922014	0.873698206	0.038359537	0.041770465	0.0614
"WBC Count,BMI"	Esophagus Mucosa	-0.00158256	0.002488413	0.26239748	0.87722223	-0.025774593	0.040527902	0.0614
"WBC Count,BMI"	Esophagus Muscularis	0.003096993	0.00291308	0.1438607	0.80150962	0.050439633	0.047444306	0.0614
