Trait	Tissue	TCSC_h2ge(t')	TCSC_JKSE	TCSC_JKP	TCSC_FDR	pi_(t')	pi_(t')_SE
Intelligence	Esophagus Mucosa	-0.002995996	0.003776131	0.786228609	0.960765079	-0.016116168	0.020312701
Intelligence	Esophagus Muscularis	1.44E-03	0.003361591	0.334390202	0.835777555	0.007736223	0.01808279
Intelligence	Heart A. Appen.	0.00076572	0.003642413	0.41674675	0.835777555	0.004118986	0.019593398
Intelligence	Heart Left Vent.	0.00085972	0.002861717	0.381927956	0.835777555	0.004624639	0.015393852
Intelligence	Liver	0.001885185	0.002214629	0.197317424	0.769537953	0.010140856	0.01191301
Intelligence	Lung	-0.003095915	0.002839323	0.86222507	0.960765079	-0.016653657	0.01527339
Intelligence	Min. Salivary Gland	-0.001369735	0.001809905	0.77541484	0.960765079	-0.007368125	0.009735908
Intelligence	Muscle Skeletal	0.005645316	0.002655856	0.01676785	0.217982053	0.030367488	0.014286478
Intelligence	Tibial Nerve	0.005708624	0.003888661	0.071049697	0.554187635	0.030708037	0.020918028
Intelligence	Ovary	-0.002908215	0.002029043	0.924113103	0.977635933	-0.015643975	0.0109147
Intelligence	Pancreas	0.000384557	0.002292061	0.433379036	0.835777555	0.002068623	0.012329535
Intelligence	Pituitary	-0.000686343	0.002920913	0.592886113	0.835777555	-0.003692	0.01571228
Intelligence	Prostate	-0.005502743	0.002186029	0.994085974	0.994085974	-0.029600557	0.011759164
Intelligence	Skin (sun unexposed)	-0.003369626	0.003847416	0.809434761	0.960765079	-0.018126011	0.020696159
Intelligence	Skin (sun exposed)	0.007674961	0.004378223	0.039802266	0.388072092	0.041285426	0.023551496
Intelligence	Spleen	0.002626904	0.002933766	0.185285769	0.769537953	0.014130735	0.01578142
Intelligence	Stomach	-0.001455294	0.002148889	0.750870265	0.960765079	-0.00782837	0.011559381
Intelligence	Testis	0.001797993	0.003840938	0.319851938	0.835777555	0.009671827	0.020661315
Intelligence	Thyroid	-0.000703341	0.003256927	0.585487605	0.835777555	-0.00378344	0.017519778
Intelligence	Uterus	0.00026277	0.002241041	0.453329529	0.835777555	0.001413503	0.012055087
Intelligence	Vagina	-0.002340588	0.002166178	0.86004357	0.960765079	-0.012590576	0.011652383
Intelligence	Whole Blood	-3.54E-03	0.002289176	0.938779294	0.977635933	-0.01902032	0.012314021
Intelligence	AllTissues	0.02570875	0.004623354	1.34E-08	NA	0.138293436	0.024870112
Neuroticism	Adipose Sub.	0.000592857	0.002232607	0.395294966	0.857024272	0.005205064	0.019601465
Neuroticism	Adipose Visc.	-0.001264822	0.002770579	0.675991545	0.909092078	-0.011104667	0.024324662
Neuroticism	Adrenal Gland	0.002093382	0.002343225	0.185827882	0.805254156	0.01837912	0.020572655
Neuroticism	Aorta Artery	-0.000108666	0.001981904	0.521862643	0.857024272	-0.000954045	0.017400385
Neuroticism	Coronary Artery	0.000280752	0.001951295	0.4427977	0.857024272	0.002464899	0.017131654
Neuroticism	Tibial Artery	0.002290763	0.001884748	0.112102686	0.805254156	0.020112055	0.016547391
Neuroticism	Brain Limbic	5.85E-06	0.001709838	0.498635683	0.857024272	5.13E-05	0.015011745
Neuroticism	Brain Cortex	-0.002156973	0.000988118	0.985478846	0.985478846	-0.018937431	0.008675308
Neuroticism	Brain Basal Ganglia	0.001612187	0.001727987	0.175413801	0.805254156	0.014154404	0.015171092
Neuroticism	Brain Cereb.	0.002468685	0.002029794	0.111949744	0.805254156	0.021674143	0.017820843
Neuroticism	Brain Spinal Cord	0.001144893	0.00159902	0.23699671	0.857024272	0.01005174	0.014038809
Neuroticism	Brain Subst. Nigra	-0.000306229	0.001297001	0.593324496	0.857024272	-0.002688576	0.011387193
Neuroticism	Breast	-0.000693491	0.001566296	0.671029975	0.909092078	-0.0060886	0.013751497
Neuroticism	LCLs	-0.000133177	0.000986205	0.553709693	0.857024272	-0.001169242	0.008658518
Neuroticism	Fibroblasts	-0.000112825	0.002371276	0.518974494	0.857024272	-0.000990564	0.020818928
Neuroticism	Sigmoid Intestine	0.000329061	0.002025885	0.435484285	0.857024272	0.002889035	0.017786524
Neuroticism	Transverse Intestine	-0.001488945	0.001584161	0.826364327	0.93454536	-0.013072387	0.013908346
Neuroticism	Esophagus Mucosa	-0.001838078	0.001736097	0.8551412	0.93454536	-0.016137647	0.015242295
Neuroticism	Esophagus Muscularis	-0.000263933	0.002108691	0.549803333	0.857024272	-0.002317236	0.018513525
Neuroticism	Heart A. Appen.	0.003402377	0.001890922	0.035983897	0.701685988	0.029871613	0.016601596
Neuroticism	Heart Left Vent.	0.000974354	0.002158724	0.325866444	0.857024272	0.008554465	0.018952805
Neuroticism	Liver	1.69E-03	0.001811671	0.175997546	0.805254156	0.014803949	0.015905801
Neuroticism	Lung	-0.001582936	0.001697661	0.824440725	0.93454536	-0.013897596	0.014904837
Neuroticism	Min. Salivary Gland	0.000271414	0.00095826	0.388497726	0.857024272	0.002382919	0.008413173
Neuroticism	Muscle Skeletal	-0.00046157	0.002260264	0.580905625	0.857024272	-0.004052418	0.019844287
Neuroticism	Tibial Nerve	0.000447903	0.001994026	0.411136471	0.857024272	0.003932424	0.017506812
Neuroticism	Ovary	0.002741782	0.002455823	0.132116686	0.805254156	0.024071833	0.021561221
Neuroticism	Pancreas	-0.002613241	0.001562129	0.952823723	0.985478846	-0.022943294	0.013714916
Neuroticism	Pituitary	-0.000121129	0.00175447	0.527521263	0.857024272	-0.00106347	0.015403596
Neuroticism	Prostate	9.53E-05	0.001424228	0.473320452	0.857024272	0.000836851	0.012504194
Neuroticism	Skin (sun unexposed)	-0.003468762	0.001694648	0.97966565	0.985478846	-0.030454453	0.014878389
Neuroticism	Skin (sun exposed)	0.00224413	0.002293159	1.64E-01	0.805254156	0.01970263	0.02013309
Neuroticism	Spleen	-0.001555601	0.001632483	0.829680918	0.93454536	-0.013657607	0.0143326
Neuroticism	Stomach	0.004730445	0.002124297	0.012979388	0.506196148	0.041531563	0.018650549
Neuroticism	Testis	0.000509068	0.001754462	3.86E-01	0.857024272	0.004469428	0.015403532
Neuroticism	Thyroid	0.000360366	0.001738142	0.417876682	0.857024272	0.003163883	0.015260245
Neuroticism	Uterus	-0.001423789	0.001552079	0.820518602	0.93454536	-0.012500344	0.013626681
Neuroticism	Vagina	-1.23E-03	0.001124431	0.862657255	0.93454536	-0.010783637	0.009872089
Neuroticism	Whole Blood	-0.000942905	0.00150228	0.734883132	0.93454536	-0.008278356	0.013189463
Neuroticism	AllTissues	0.006516422	0.002271942	0.002063963	NA	0.057211781	0.019946813
DBP	Adipose Sub.	0.014967268	0.007720132	0.026266973	0.341470654	0.064237203	0.033133612
DBP	Adipose Visc.	6.28E-05	0.005793577	0.495677367	0.920543681	0.000269425	0.024865139
DBP	Adrenal Gland	-0.0043517	0.002919598	0.93195536	0.98529567	-0.018676825	0.012530464
DBP	Aorta Artery	0.018083451	0.005503188	0.000508113	0.01981641	0.077611376	0.023618832
DBP	Coronary Artery	0.007925409	0.008151444	0.165457968	0.775630399	0.034014633	0.034984738
DBP	Tibial Artery	0.012587341	0.006132012	0.020049575	0.341470654	0.054022925	0.026317649
DBP	Brain Limbic	-0.004682013	0.003438857	0.913322513	0.98529567	-0.020094475	0.014759045
DBP	Brain Cortex	0.001552005	0.006311164	0.402874304	0.886260737	0.006660967	0.027086541
DBP	Brain Basal Ganglia	-0.005687951	0.003919859	0.926618433	0.98529567	-0.024411806	0.016823429
DBP	Brain Cereb.	0.004181204	0.009788519	0.334633634	0.867417098	0.01794508	0.04201081
DBP	Brain Spinal Cord	0.006184652	0.006334064	0.164430339	0.775630399	0.026543569	0.027184823
DBP	Brain Subst. Nigra	-0.001529297	0.002333332	0.74389911	0.98529567	-0.006563505	0.010014301
DBP	Breast	-3.08E-03	0.005302647	0.71919382	0.98529567	-0.013209923	0.022758141
DBP	LCLs	-0.003122702	0.002254337	0.917003904	0.98529567	-0.013402154	0.009675268
DBP	Fibroblasts	0.004272761	0.005052755	0.19887959	0.775630399	0.018338031	0.021685644
