Trait	Trait_Nickname	Tissue	TCSC_h2	TCSC_JKSE	TCSC_JKP	TCSC_FDRP	prop_h2g	prop_h2g_se
PASS_Intelligence_SavageJansen2018	Intelligence	Testis	 0.0017979927	0.003840938	3.198519e-01	0.8357776	0.00967182727616132	0.0206613146526889
PASS_Intelligence_SavageJansen2018	Intelligence	Thyroid	-0.0007033414	0.003256927	5.854876e-01	0.8357776	-0.00378343954362997	0.0175197782904253
PASS_Intelligence_SavageJansen2018	Intelligence	Uterus	 0.0002627702	0.002241041	4.533295e-01	0.8357776	0.00141350288023604	0.0120550869930595
PASS_Intelligence_SavageJansen2018	Intelligence	Vagina	-0.0023405881	0.002166178	8.600436e-01	0.9607651	-0.0125905761229755	0.0116523831585652
PASS_Intelligence_SavageJansen2018	Intelligence	Whole_Blood	-0.0035358774	0.002289176	9.387793e-01	0.9776359	-0.0190203196646425	0.0123140207866478
PASS_Intelligence_SavageJansen2018	Intelligence	AllTissues	 0.0257087498	0.004623354	1.344029e-08	NA	0.138293436466087	0.0248701119660415
UKB_460K.mental_NEUROTICISM	Neuroticism	Adipose_Subcutaneous	 5.928568e-04	0.0022326069	0.395294966	0.8570243	0.00520506381080579	0.0196014648952554
UKB_460K.mental_NEUROTICISM	Neuroticism	Adipose_Visceral_Omentum	-1.264822e-03	0.0027705790	0.675991545	0.9090921	-0.0111046671269043	0.0243246621852154
UKB_460K.mental_NEUROTICISM	Neuroticism	Adrenal_Gland	 2.093382e-03	0.0023432254	0.185827882	0.8052542	0.018379119599535	0.0205726550439763
UKB_460K.mental_NEUROTICISM	Neuroticism	Artery_Aorta	-1.086658e-04	0.0019819038	0.521862643	0.8570243	-0.00095404531920784	0.0174003845038705
UKB_460K.mental_NEUROTICISM	Neuroticism	Artery_Coronary	 2.807520e-04	0.0019512954	0.442797700	0.8570243	0.0024648986668329	0.0171316538987128
UKB_460K.mental_NEUROTICISM	Neuroticism	Artery_Tibial	 2.290763e-03	0.0018847478	0.112102686	0.8052542	0.0201120545065279	0.0165473907419579
UKB_460K.mental_NEUROTICISM	Neuroticism	Brain_Limbic	 5.847375e-06	0.0017098377	0.498635683	0.8570243	5.13377956653381e-05	0.0150117446234737
UKB_460K.mental_NEUROTICISM	Neuroticism	Brain_Cortex	-2.156973e-03	0.0009881175	0.985478846	0.9854788	-0.0189374312718429	0.00867530772010771
UKB_460K.mental_NEUROTICISM	Neuroticism	Brain_BasalGanglia	 1.612187e-03	0.0017279873	0.175413801	0.8052542	0.0141544042085356	0.015171091670968
UKB_460K.mental_NEUROTICISM	Neuroticism	Brain_Cerebellum	 2.468685e-03	0.0020297941	0.111949744	0.8052542	0.0216741428632668	0.0178208433736579
